Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R87","20k 0.1%","R_0603_1608Metric",67.0300,-181.5225,90.0000,top
"R89","10k","R_0603_1608Metric",114.2500,-165.9300,270.0000,top
"R93","12.1k 1%","R_0603_1608Metric",77.5300,-181.5225,90.0000,top
"U1","ME6203A50M3G","SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR",133.3000,-159.0000,270.0000,top
"U2","Jumper Black","SNT-100-BK-H",60.3000,-194.8000,0.0000,top
"U3","Jumper Black","SNT-100-BK-H",53.7000,-151.9000,90.0000,top
"U14","Fuse Holder","Dummy",62.0000,-156.5000,270.0000,top
"U15","Fuse Holder","Dummy",87.9000,-195.3000,0.0000,top
"U16","Fuse Holder","Dummy",62.0000,-171.5000,270.0000,top
"U17","Fuse Holder","Dummy",102.9000,-195.3000,0.0000,top
"U27","BQ25756RRVR","BQ25756RRVR",86.6000,-157.7000,270.0000,top
"U72","Jumper Red","SNT-100-RD-G",68.2000,-186.3000,90.0000,top
"U73","Jumper Blue","SNT-100-BL-H",104.0900,-160.8750,90.0000,top
"U74","Fuse 2A","Dummy",95.4000,-195.3000,0.0000,top
"U75","Fuse 2A","Dummy",62.0000,-164.0000,0.0000,top
